Graph Name,Graph Type,Graph Size,Graph Seed,Trial,Trial Seed,Algorithm,Success,Path Length,Longest Path Length,Time (seconds),Generations,GBS Used
Random_n15_7,Random,15,792,5,35266927,SourceResolved-GA,1,15,15,0.0014903545379638672,0,True
Random_n15_7,Random,15,792,6,35266928,SourceResolved-GA,1,15,15,0.004471778869628906,2,True
Random_n15_7,Random,15,792,7,35266929,SourceResolved-GA,1,15,15,0.001416921615600586,0,True
Random_n15_7,Random,15,792,8,35266930,SourceResolved-GA,1,15,15,0.001424551010131836,0,True
Random_n15_7,Random,15,792,9,35266931,SourceResolved-GA,1,15,15,0.0014336109161376953,0,True
Random_n15_7,Random,15,792,0,35266922,MS-SourceResolved-GA,1,15,15,0.06653022766113281,1,True
Random_n15_7,Random,15,792,1,35266923,MS-SourceResolved-GA,1,15,15,0.06402921676635742,0,True
Random_n15_7,Random,15,792,2,35266924,MS-SourceResolved-GA,1,15,15,0.07508015632629395,7,True
Random_n15_7,Random,15,792,3,35266925,MS-SourceResolved-GA,1,15,15,0.027571916580200195,44,True
Random_n15_7,Random,15,792,4,35266926,MS-SourceResolved-GA,0,14,14,0.28690528869628906,150,True
Random_n15_7,Random,15,792,5,35266927,MS-SourceResolved-GA,1,15,15,0.03663921356201172,59,True
Random_n15_7,Random,15,792,6,35266928,MS-SourceResolved-GA,1,15,15,0.07597613334655762,8,True
Random_n15_7,Random,15,792,7,35266929,MS-SourceResolved-GA,1,15,15,0.014937400817871094,23,True
Random_n15_7,Random,15,792,8,35266930,MS-SourceResolved-GA,1,15,15,0.041091203689575195,66,True
Random_n15_7,Random,15,792,9,35266931,MS-SourceResolved-GA,1,15,15,0.06394243240356445,0,True
Random_n15_8,Random,15,892,0,35267922,SourceResolved-GA,1,15,15,0.009109735488891602,5,True
Random_n15_8,Random,15,892,1,35267923,SourceResolved-GA,1,15,15,0.030493974685668945,19,True
Random_n15_8,Random,15,892,2,35267924,SourceResolved-GA,1,15,15,0.0015451908111572266,0,True
Random_n15_8,Random,15,892,3,35267925,SourceResolved-GA,1,15,15,0.03331303596496582,21,True
Random_n15_8,Random,15,892,4,35267926,SourceResolved-GA,1,15,15,0.0015349388122558594,0,True
Random_n15_8,Random,15,892,5,35267927,SourceResolved-GA,1,15,15,0.027202844619750977,17,True
Random_n15_8,Random,15,892,6,35267928,SourceResolved-GA,0,15,15,0.3003849983215332,200,True
Random_n15_8,Random,15,892,7,35267929,SourceResolved-GA,1,15,15,0.016689777374267578,10,True
Random_n15_8,Random,15,892,8,35267930,SourceResolved-GA,1,15,15,0.0015010833740234375,0,True
Random_n15_8,Random,15,892,9,35267931,SourceResolved-GA,1,15,15,0.0015244483947753906,0,True
Random_n15_8,Random,15,892,0,35267922,MS-SourceResolved-GA,1,15,15,0.022643089294433594,33,True
Random_n15_8,Random,15,892,1,35267923,MS-SourceResolved-GA,1,15,15,0.019125938415527344,30,True
Random_n15_8,Random,15,892,2,35267924,MS-SourceResolved-GA,1,15,15,0.0652773380279541,1,True
Random_n15_8,Random,15,892,3,35267925,MS-SourceResolved-GA,1,15,15,0.06733298301696777,0,True
