n,graph_id,tau,sampler,schedule,accepted_samples,acceptance_rate%,success_rate%
30,15,0.8,classical,single,43,8.6,80.0
30,15,0.8,classical,multi,43,8.6,80.0
30,24,1.0,quantum,single,75,15.0,50.0
30,24,1.0,quantum,multi,75,15.0,80.0
30,24,1.0,classical,single,124,24.8,70.0
30,24,1.0,classical,multi,124,24.8,80.0
30,24,0.95,quantum,single,61,12.2,100.0
30,24,0.95,quantum,multi,61,12.2,100.0
30,24,0.95,classical,single,92,18.4,70.0
30,24,0.95,classical,multi,92,18.4,100.0
30,24,0.9,quantum,single,40,8.0,80.0
30,24,0.9,quantum,multi,40,8.0,100.0
30,24,0.9,classical,single,71,14.2,40.0
30,24,0.9,classical,multi,71,14.2,80.0
30,24,0.8,quantum,single,28,5.6,90.0
30,24,0.8,quantum,multi,28,5.6,80.0
30,24,0.8,classical,single,35,7.0,90.0
30,24,0.8,classical,multi,35,7.0,60.0
30,27,1.0,quantum,single,85,17.0,80.0
30,27,1.0,quantum,multi,85,17.0,60.0
30,27,1.0,classical,single,99,19.8,50.0
30,27,1.0,classical,multi,99,19.8,60.0
30,27,0.95,quantum,single,57,11.4,70.0
30,27,0.95,quantum,multi,57,11.4,80.0
30,27,0.95,classical,single,72,14.4,80.0
30,27,0.95,classical,multi,72,14.4,70.0
30,27,0.9,quantum,single,39,7.8,40.0
30,27,0.9,quantum,multi,39,7.8,90.0
30,27,0.9,classical,single,58,11.6,50.0
30,27,0.9,classical,multi,58,11.6,100.0
30,27,0.8,quantum,single,27,5.4,70.0
30,27,0.8,quantum,multi,27,5.4,70.0
30,27,0.8,classical,single,33,6.6,50.0
30,27,0.8,classical,multi,33,6.6,70.0
