Graph Name,Graph Size,graph_seed,sampler_rng_seed,num_shots,accepted_samples,acceptance_rate%,mean_pairs_theory,subgraph_size_distribution,code_version
Random_n20_21,20,2242,2242,500,91,18.2,2.4143,"4:2, 5:18, 6:38, 7:15, 8:8, 9:2, 10:6, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_22,20,2342,2342,500,96,19.2,2.3977,"4:7, 5:12, 6:42, 7:12, 8:10, 9:5, 10:7, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_23,20,2442,2442,500,96,19.2,2.4335,"4:4, 5:12, 6:48, 7:12, 8:15, 9:3, 10:1, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_24,20,2542,2542,500,87,17.4,2.4659,"4:2, 5:18, 6:35, 7:10, 8:10, 9:7, 10:5",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_13,15,1392,1392,500,72,14.4,2.409,"4:4, 5:23, 6:25, 7:13, 8:5, 9:1, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_14,15,1492,1492,500,51,10.2,2.2334,"4:1, 5:16, 6:19, 7:10, 8:4, 9:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_15,15,1592,1592,500,66,13.2,2.5243,"4:2, 5:16, 6:31, 7:12, 8:5",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_16,15,1692,1692,500,62,12.4,2.1404,"4:4, 5:23, 6:23, 7:3, 8:8, 9:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_49,15,4992,4992,500,90,18.0,2.7249,"4:5, 5:21, 6:43, 7:10, 8:6, 9:4, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_50,15,5092,5092,500,60,12.0,2.2113,"4:3, 5:23, 6:21, 7:6, 8:5, 9:1, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_51,15,5192,5192,500,63,12.6,2.4577,"4:2, 5:20, 6:22, 7:11, 8:6, 9:1, 13:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_52,15,5292,5292,500,52,10.4,2.0675,"5:14, 6:24, 7:5, 8:6, 9:2, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_13,20,1442,1442,500,102,20.4,2.6417,"4:2, 5:23, 6:46, 7:8, 8:7, 9:6, 10:7, 11:1, 13:1, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_14,20,1542,1542,500,89,17.8,2.4845,"4:1, 5:16, 6:35, 7:12, 8:13, 9:7, 10:3, 11:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_15,20,1642,1642,500,81,16.2,2.3241,"5:22, 6:30, 7:8, 8:9, 9:8, 10:1, 11:2, 13:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_16,20,1742,1742,500,65,13.0,2.4739,"4:2, 5:15, 6:31, 7:6, 8:8, 9:2, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
